All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs     
# contigs (>= 0 bp)          593         
# contigs (>= 1000 bp)       210         
# contigs (>= 5000 bp)       120         
# contigs (>= 10000 bp)      85          
# contigs (>= 25000 bp)      35          
# contigs (>= 50000 bp)      12          
Total length (>= 0 bp)       3044376     
Total length (>= 1000 bp)    2944900     
Total length (>= 5000 bp)    2728262     
Total length (>= 10000 bp)   2467923     
Total length (>= 25000 bp)   1690949     
Total length (>= 50000 bp)   910091      
# contigs                    285         
Largest contig               106498      
Total length                 2994089     
Reference length             2919198     
GC (%)                       37.65       
Reference GC (%)             37.88       
N50                          30223       
NG50                         31200       
N90                          6030        
NG90                         7173        
auN                          38738.5     
auNG                         39732.3     
L50                          29          
LG50                         27          
L90                          114         
LG90                         104         
# misassemblies              72          
# misassembled contigs       48          
Misassembled contigs length  1529308     
# local misassemblies        12          
# scaffold gap ext. mis.     0           
# scaffold gap loc. mis.     0           
# unaligned mis. contigs     7           
# unaligned contigs          88 + 45 part
Unaligned length             591079      
Genome fraction (%)          81.178      
Duplication ratio            1.011       
# N's per 100 kbp            0.00        
# mismatches per 100 kbp     334.74      
# indels per 100 kbp         61.01       
Largest alignment            78437       
Total aligned length         2396515     
NA50                         16795       
NGA50                        18135       
NA90                         -           
NGA90                        -           
auNA                         21051.6     
auNGA                        21591.6     
LA50                         48          
LGA50                        46          
LA90                         -           
LGA90                        -           
