All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     NanoPore.contigs
# misassemblies              4               
  # contig misassemblies     4               
    # c. relocations         4               
    # c. translocations      0               
    # c. inversions          0               
  # scaffold misassemblies   0               
    # s. relocations         0               
    # s. translocations      0               
    # s. inversions          0               
# misassembled contigs       3               
Misassembled contigs length  41704           
# local misassemblies        0               
# scaffold gap ext. mis.     0               
# scaffold gap loc. mis.     0               
# unaligned mis. contigs     1               
# mismatches                 828             
# indels                     5589            
    # indels (<= 5 bp)       5577            
    # indels (> 5 bp)        12              
Indels length                8320            
