All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     pacbio_assembly.contigs
# misassemblies              183                    
  # contig misassemblies     183                    
    # c. relocations         169                    
    # c. translocations      12                     
    # c. inversions          2                      
  # scaffold misassemblies   0                      
    # s. relocations         0                      
    # s. translocations      0                      
    # s. inversions          0                      
# misassembled contigs       1                      
Misassembled contigs length  2763566                
# local misassemblies        20                     
# scaffold gap ext. mis.     0                      
# scaffold gap loc. mis.     0                      
# unaligned mis. contigs     4                      
# mismatches                 9461                   
# indels                     533                    
    # indels (<= 5 bp)       480                    
    # indels (> 5 bp)        53                     
Indels length                3572                   
