"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ONCDGDAG_00001",455.226081347456,0.32556323868146,0.0794316824579771,4.09865721846818,4.15553926466217e-05,6.90894727394007e-05
"ONCDGDAG_00002",3885.09424292771,2.90163370124107,0.0870938138060226,33.3161860118292,2.25087449630755e-243,5.05649207713815e-242
"ONCDGDAG_00003",1217.92315279342,2.44822975267657,0.0821773563784057,29.7920237468227,4.9559956941315e-195,9.00602274863515e-194
"ONCDGDAG_00004",1493.99272683418,2.27775949343955,0.311383412603368,7.31496734009049,2.57443999198451e-13,6.08776152676547e-13
"ONCDGDAG_00005",418.321996966723,-0.551267453324585,0.208422575738567,-2.64495077546716,0.0081702801576733,0.0114713628394891
"ONCDGDAG_00006",2483.25191756456,-0.273986220591608,0.168700842471742,-1.62409515315551,0.104355502250528,0.12916540039946
"ONCDGDAG_00007",2136.29643231399,0.509248641474032,0.185586579216801,2.74399497864084,0.00606964663426679,0.00861099047616268
"ONCDGDAG_00008",3041.04315462965,-1.72275525465975,0.0513271087060628,-33.5642372635001,5.58100152672861e-247,1.26369820283783e-245
"ONCDGDAG_00009",314.099077126467,-1.80184350723107,0.213666401284032,-8.43297540653497,3.36985542664668e-17,9.05291669700846e-17
"ONCDGDAG_00010",369.506110141614,0.964616138511502,0.106935437299685,9.02054700359227,1.87152445377333e-19,5.3662907202164e-19
"ONCDGDAG_00011",58.819131363866,1.62445912323489,0.198108927875277,8.19982794645985,2.40731324959584e-16,6.28943653946606e-16
"ONCDGDAG_00012",3576.99767098964,0.697679047651697,0.192204658724975,3.62987584317612,0.000283557577884179,0.000445478948074649
"ONCDGDAG_00013",0.658298127589706,-1.85059890652677,1.55093211478701,-1.19321722007215,0.232784312311013,0.272409205505874
"ONCDGDAG_00014",4.05783771167437,-0.56385462732616,0.514260997470397,-1.09643669284606,0.272887713732624,0.314057542266711
"ONCDGDAG_00015",17.1580957120059,-1.08906367416039,0.261770884119847,-4.16036977459181,3.1773274542341e-05,5.31354937100227e-05
"ONCDGDAG_00016",81.3908910056802,-0.771528102362436,0.123947090150059,-6.2246568388848,4.82611151928777e-10,1.01316380901604e-09
"ONCDGDAG_00017",59.6073562875679,1.19859203614855,0.219669992551331,5.45633029904379,4.86075380559402e-08,9.40185125922695e-08
"ONCDGDAG_00018",49.810860130134,2.7049793837028,0.251635359549883,10.7495996927514,5.95193625665949e-27,2.06078569663222e-26
"ONCDGDAG_00019",2249.97007217534,4.63283488817013,0.225588754631161,20.5366393185017,1.01336584704635e-93,9.06311210540195e-93
"ONCDGDAG_00020",2426.5150732471,-1.32858078490296,0.132286906773471,-10.0431767384056,9.84514260363333e-24,3.08322632800943e-23
"ONCDGDAG_00021",1372.44594620191,-1.74491367802697,0.143978305579538,-12.1192819362846,8.34873896416784e-34,3.39301314312975e-33
"ONCDGDAG_00022",263.775112939211,-2.50787386346201,0.127146009155593,-19.7243616226526,1.33228749023394e-86,1.1146675101576e-85
"ONCDGDAG_00023",174.804562425898,-0.464243066442158,0.108356192204742,-4.28441658013376,1.8321933590722e-05,3.11516546688497e-05
"ONCDGDAG_00024",66.6251501030449,-0.834855977293882,0.139285505012721,-5.99384679129128,2.04934456926311e-09,4.20027302881297e-09
"ONCDGDAG_00025",50.4258803792778,-0.776912519685298,0.195646332808401,-3.97100476422494,7.15701478747801e-05,0.000116880155630651
"ONCDGDAG_00026",89.301644402378,-1.0080671042052,0.134976028677437,-7.46848987989012,8.11203536184912e-14,1.96132515994538e-13
"ONCDGDAG_00027",16.1254965832294,-0.943237388118886,0.294183431553627,-3.2062899774386,0.00134458416928434,0.0020084286046954
"ONCDGDAG_00028",37.0208228477283,-2.03273686779475,0.249095059463806,-8.16048649126301,3.33677882028956e-16,8.66226567268983e-16
"ONCDGDAG_00029",258.51945881886,0.434070113739862,0.174276068390641,2.49070407513951,0.0127490256457526,0.0175375941018959
"ONCDGDAG_00030",24.8443432093044,-3.72346350708948,0.352685690757424,-10.5574555607658,4.69207926969788e-26,1.58420143863291e-25
"ONCDGDAG_00031",81.0970288272904,-3.07483414574355,0.2257439259129,-13.6208942646365,3.00860971149258e-42,1.45978971205584e-41
"ONCDGDAG_00032",274.992972798974,0.688109838983662,0.0796801899909738,8.63589606226606,5.82684730183173e-18,1.59692558617924e-17
"ONCDGDAG_00033",349.608221939227,0.835166389608094,0.0793089334663259,10.5305462210345,6.24709187358582e-26,2.10176333907315e-25
"ONCDGDAG_00034",8068.93480331978,5.54390898868423,0.109090843057009,50.8191964910116,0,0
"ONCDGDAG_00035",610.178059623217,2.06273609472725,0.119010439997257,17.3323961727625,2.67929169478754e-67,1.78598579561422e-66
"ONCDGDAG_00036",2203.50052338994,1.6611171648333,0.0573268813700057,28.9762346238919,1.31142690419791e-184,2.17529125446316e-183
