"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ONCDGDAG_00001",0,NA,NA,NA,NA,NA
"ONCDGDAG_00002",4.73501140412937,-5.79336819708064,3.62627797354249,-1.59760730957454,0.110130398656307,NA
"ONCDGDAG_00003",0,NA,NA,NA,NA,NA
"ONCDGDAG_00004",0,NA,NA,NA,NA,NA
"ONCDGDAG_00005",0,NA,NA,NA,NA,NA
"ONCDGDAG_00006",0.142814622179988,-0.962371383216672,4.0804728567969,-0.235848005118729,0.813550616001249,NA
"ONCDGDAG_00007",0,NA,NA,NA,NA,NA
"ONCDGDAG_00008",328.469933886459,-0.656907069000561,1.86065519841756,-0.353051478618523,0.724049847894357,0.996389052131759
"ONCDGDAG_00009",0,NA,NA,NA,NA,NA
"ONCDGDAG_00010",0,NA,NA,NA,NA,NA
"ONCDGDAG_00011",0,NA,NA,NA,NA,NA
"ONCDGDAG_00012",41.9662142574193,5.52668028425327,2.63703181123429,2.09579583405422,0.0361003060790146,0.359838534787597
"ONCDGDAG_00013",0,NA,NA,NA,NA,NA
"ONCDGDAG_00014",11.7598157061633,-2.6024621610412,3.36407012795436,-0.773605205021013,0.439164293106998,0.996389052131759
"ONCDGDAG_00015",0,NA,NA,NA,NA,NA
"ONCDGDAG_00016",123.118153407383,2.01405217720177,2.21351107655203,0.909890263724837,0.362880384960231,0.996389052131759
"ONCDGDAG_00017",3.32204689859896,5.28081351569704,3.91919664647111,1.34742244190578,0.177844216814162,NA
"ONCDGDAG_00018",55.5134168691358,22.6251211655126,3.51094954354628,6.44416015806932,NA,NA
"ONCDGDAG_00019",0,NA,NA,NA,NA,NA
"ONCDGDAG_00020",0,NA,NA,NA,NA,NA
"ONCDGDAG_00021",0,NA,NA,NA,NA,NA
"ONCDGDAG_00022",0,NA,NA,NA,NA,NA
"ONCDGDAG_00023",0,NA,NA,NA,NA,NA
"ONCDGDAG_00024",398.682329613349,-0.205047517976295,1.80616773493399,-0.113526287736387,0.909613323200019,0.996389052131759
"ONCDGDAG_00025",0.74682314919798,1.86196739239737,3.9745435250205,0.468473267603169,0.639446183539281,NA
"ONCDGDAG_00026",22.3652279943017,-1.24369589976795,2.28432723690433,-0.544447345229477,0.586133673051133,0.996389052131759
"ONCDGDAG_00027",14.3061735558185,-1.87989503493148,2.66271396248704,-0.706007127095097,0.480183705270233,0.996389052131759
"ONCDGDAG_00028",26.5281234972347,-0.397640369577543,2.6791858188548,-0.148418361570573,0.882012610112869,0.996389052131759
"ONCDGDAG_00029",0.293816753934486,-0.000590703787813917,4.0804728567969,-0.000144763562592991,0.999884495388844,NA
"ONCDGDAG_00030",0,NA,NA,NA,NA,NA
"ONCDGDAG_00031",72.3526341924342,-0.10304631099977,1.94010167483197,-0.0531138714720686,0.957641179217657,0.996389052131759
"ONCDGDAG_00032",10.4802317813606,-1.62318233755783,3.00256997099717,-0.540597672406204,0.588784922553075,0.996389052131759
"ONCDGDAG_00033",0,NA,NA,NA,NA,NA
"ONCDGDAG_00034",0,NA,NA,NA,NA,NA
"ONCDGDAG_00035",0,NA,NA,NA,NA,NA
"ONCDGDAG_00036",20.7081308305126,-0.734805794112289,3.34826547993426,-0.219458641650696,NA,NA
"ONCDGDAG_00037",0,NA,NA,NA,NA,NA
"ONCDGDAG_00038",74.1060560018563,-2.24137518877117,2.19345862540998,-1.02184520957272,0.306854167963432,0.996389052131759
"ONCDGDAG_00039",0,NA,NA,NA,NA,NA
"ONCDGDAG_00040",29.1983363169809,-0.220916801584832,2.97574158012199,-0.0742392427691169,0.940820020774149,0.996389052131759
"ONCDGDAG_00041",17.9320161785087,-2.50020226268672,2.33711307431958,-1.06978232681986,0.284717299145822,0.961504321705562
"ONCDGDAG_00042",114.854463515343,1.04844768134804,1.83903005995217,0.570109050515087,0.568603737029417,0.996389052131759
"ONCDGDAG_00043",0,NA,NA,NA,NA,NA
"ONCDGDAG_00044",21.8666207545505,-1.87560544839174,2.94627686586582,-0.636601899204257,0.524384187800739,0.996389052131759
"ONCDGDAG_00045",0,NA,NA,NA,NA,NA
"ONCDGDAG_00046",9.15203048278288,-6.74268812638935,3.70691819948201,-1.81894710472207,0.0689195003759619,0.44171286377073
"ONCDGDAG_00047",0,NA,NA,NA,NA,NA
"ONCDGDAG_00048",2.71347782141977,-4.99083944271584,3.92194732755949,-1.27254117046531,0.203180905764979,NA
"ONCDGDAG_00049",0,NA,NA,NA,NA,NA
"ONCDGDAG_00050",0,NA,NA,NA,NA,NA
"ONCDGDAG_00051",0,NA,NA,NA,NA,NA
"ONCDGDAG_00052",0,NA,NA,NA,NA,NA
"ONCDGDAG_00053",0,NA,NA,NA,NA,NA
"ONCDGDAG_00054",0.824717471848757,-3.26589865293602,3.95672539119462,-0.825404426651397,0.409142022601448,NA
"ONCDGDAG_00055",0,NA,NA,NA,NA,NA
"ONCDGDAG_00056",3.32204689859896,5.28081351569704,3.91919664647111,1.34742244190578,0.177844216814162,NA
"ONCDGDAG_00057",1.05701492228149,3.62991223001711,3.94567635957561,0.91997211611333,0.357587330770869,NA
"ONCDGDAG_00058",53.1672017482045,-2.54506920933417,2.53590883017892,-1.00361226675275,0.31556553959742,0.996389052131759
"ONCDGDAG_00059",8.4260627086193,-6.62429599362889,3.72889459785832,-1.7764771354582,0.0756543072672646,0.449393080264577
"ONCDGDAG_00060",0,NA,NA,NA,NA,NA
"ONCDGDAG_00061",0,NA,NA,NA,NA,NA
"ONCDGDAG_00062",0,NA,NA,NA,NA,NA
"ONCDGDAG_00063",0,NA,NA,NA,NA,NA
"ONCDGDAG_00064",0.75501065877249,3.14512921605104,3.96110549857831,0.794002890652587,0.427193748527368,NA
"ONCDGDAG_00065",1.2916652297275,-1.70294223353279,3.9075154449456,-0.435812028775357,0.662973115762871,NA
"ONCDGDAG_00066",0,NA,NA,NA,NA,NA
"ONCDGDAG_00067",6.34208953368891,6.21343492425998,3.838049070414,1.61890450337305,0.105467811788004,0.482808205073976
"ONCDGDAG_00068",4.07705755737144,5.57616130871495,3.91689735000654,1.4236169116624,0.15455739759122,NA
"ONCDGDAG_00069",0,NA,NA,NA,NA,NA
"ONCDGDAG_00070",0,NA,NA,NA,NA,NA
"ONCDGDAG_00071",0.453006395263494,2.40956022186386,3.99681559091717,0.602870001643215,0.546595173706482,NA
"ONCDGDAG_00072",0,NA,NA,NA,NA,NA
"ONCDGDAG_00073",0,NA,NA,NA,NA,NA
"ONCDGDAG_00074",0,NA,NA,NA,NA,NA
"ONCDGDAG_00075",0,NA,NA,NA,NA,NA
"ONCDGDAG_00076",0,NA,NA,NA,NA,NA
"ONCDGDAG_00077",5.7730223029413,-6.07732664052141,3.88585983446857,-1.56395930357909,0.117827125980827,0.488717815539409
"ONCDGDAG_00078",0,NA,NA,NA,NA,NA
"ONCDGDAG_00079",16.4105374174038,-21.6928037974631,3.58189740257816,-6.0562325938898,NA,NA
"ONCDGDAG_00080",0.174055320781861,0.961181968425817,4.0804728567969,0.235556515668218,0.813776819420815,NA
"ONCDGDAG_00081",0,NA,NA,NA,NA,NA
"ONCDGDAG_00082",0,NA,NA,NA,NA,NA
"ONCDGDAG_00083",54.2373903924543,-1.25604042335815,2.96742859081026,-0.42327570316197,0.672094119161886,0.996389052131759
"ONCDGDAG_00084",63.1450559276283,0.519008551110636,2.60700441985142,0.199082344148927,0.84219833211618,0.996389052131759
"ONCDGDAG_00085",0,NA,NA,NA,NA,NA
"ONCDGDAG_00086",0,NA,NA,NA,NA,NA
"ONCDGDAG_00087",349.41141521405,0.339699600128591,1.75847023324585,0.193179044891514,0.846818749377405,0.996389052131759
"ONCDGDAG_00088",0,NA,NA,NA,NA,NA
"ONCDGDAG_00089",0,NA,NA,NA,NA,NA
"ONCDGDAG_00090",4.89358751964569,2.0248994506921,3.31754172981844,0.610361410827805,0.541622424815928,NA
"ONCDGDAG_00091",0,NA,NA,NA,NA,NA
"ONCDGDAG_00092",66.4526207803059,-1.08446851785084,1.91844919692189,-0.565283938501391,0.571880651550178,0.996389052131759
"ONCDGDAG_00093",88.5390202247106,3.89912900531153,2.76753248043418,1.40888283439398,NA,NA
"ONCDGDAG_00094",0,NA,NA,NA,NA,NA
"ONCDGDAG_00095",0,NA,NA,NA,NA,NA
"ONCDGDAG_00096",0,NA,NA,NA,NA,NA
"ONCDGDAG_00097",637.093062846193,1.42869499717355,1.80596579996659,0.791097482133923,0.428887108363482,0.996389052131759
"ONCDGDAG_00098",6.79509592895241,6.3129547834452,3.80980062292185,1.65703022501047,0.0975133644696703,0.470332599381656
"ONCDGDAG_00099",336.575609579637,-0.905670102021409,1.81753478866125,-0.498295882792153,0.618275509380886,0.996389052131759
"ONCDGDAG_00101",0,NA,NA,NA,NA,NA
"ONCDGDAG_00102",117.761656452108,-0.223866229532527,2.05816574041716,-0.10876977744618,0.913385095664881,0.996389052131759
"ONCDGDAG_00103",28.4181411152707,-1.80526499124866,2.32946534549907,-0.774969670502607,0.438357581580334,0.996389052131759
"ONCDGDAG_00104",0,NA,NA,NA,NA,NA
"ONCDGDAG_00105",24.8778527865837,0.608776137305387,2.68740517409591,0.226529346290401,0.820789737336065,0.996389052131759
"ONCDGDAG_00106",0,NA,NA,NA,NA,NA
"ONCDGDAG_00107",0,NA,NA,NA,NA,NA
"ONCDGDAG_00108",0,NA,NA,NA,NA,NA
"ONCDGDAG_00109",0,NA,NA,NA,NA,NA
"ONCDGDAG_00110",0,NA,NA,NA,NA,NA
"ONCDGDAG_00111",0,NA,NA,NA,NA,NA
"ONCDGDAG_00112",8.34659801224555,6.6086924657155,3.29274572282116,2.00704610134709,0.0447447544254426,0.412720272163037
"ONCDGDAG_00113",0,NA,NA,NA,NA,NA
"ONCDGDAG_00114",40.6124150144686,8.89180124430585,2.63493829950265,3.37457664416058,0.000739293261160815,0.0983901336801634
"ONCDGDAG_00115",0,NA,NA,NA,NA,NA
"ONCDGDAG_00116",0,NA,NA,NA,NA,NA
"ONCDGDAG_00117",0,NA,NA,NA,NA,NA
"ONCDGDAG_00118",27.7553646797981,-0.322405156955866,2.65762090780018,-0.121313448434124,0.903442768381292,0.996389052131759
"ONCDGDAG_00119",4.8556971541196,-5.82951061013138,3.91526162585411,-1.4889198135922,0.136508485385426,NA
"ONCDGDAG_00120",0,NA,NA,NA,NA,NA
"ONCDGDAG_00121",0,NA,NA,NA,NA,NA
"ONCDGDAG_00122",0,NA,NA,NA,NA,NA
"ONCDGDAG_00123",0,NA,NA,NA,NA,NA
"ONCDGDAG_00124",0,NA,NA,NA,NA,NA
"ONCDGDAG_00125",46.369572259924,2.31702328723881,3.09122820454372,0.749547795867375,NA,NA
"ONCDGDAG_00126",0,NA,NA,NA,NA,NA
"ONCDGDAG_00127",0,NA,NA,NA,NA,NA
"ONCDGDAG_00128",27.5675515235421,0.26288705783115,2.96760307164538,0.0885856536350707,0.929411209996689,0.996389052131759
"ONCDGDAG_00129",0,NA,NA,NA,NA,NA
"ONCDGDAG_00130",0.601216502386972,-2.81776264343688,3.97476466401714,-0.708913075771655,0.47837842026341,NA
"ONCDGDAG_00131",0,NA,NA,NA,NA,NA
"ONCDGDAG_00132",0,NA,NA,NA,NA,NA
"ONCDGDAG_00133",40.9803716483488,-7.9384250144188,2.88442491918715,-2.75216905859207,0.00592019498227613,0.15924746707265
"ONCDGDAG_00134",0.142814622179988,-0.962371383216672,4.0804728567969,-0.235848005118729,0.813550616001249,NA
"ONCDGDAG_00135",0,NA,NA,NA,NA,NA
