"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ONCDGDAG_00001",0,NA,NA,NA,NA,NA
"ONCDGDAG_00002",2.34930680939852,-4.650659332077,3.9244262002576,-1.18505460282875,0.235995858651058,0.911149228183215
"ONCDGDAG_00003",0,NA,NA,NA,NA,NA
"ONCDGDAG_00004",0,NA,NA,NA,NA,NA
"ONCDGDAG_00005",0,NA,NA,NA,NA,NA
"ONCDGDAG_00006",0.919293968895075,-3.31122747651611,3.95105632424765,-0.83806131949957,0.401996265559226,0.998846388589019
"ONCDGDAG_00007",0,NA,NA,NA,NA,NA
"ONCDGDAG_00008",331.708012897141,-0.377214409589943,1.92084925244338,-0.196378976179476,0.844313550452598,0.998846388589019
"ONCDGDAG_00009",0,NA,NA,NA,NA,NA
"ONCDGDAG_00010",0,NA,NA,NA,NA,NA
"ONCDGDAG_00011",0,NA,NA,NA,NA,NA
"ONCDGDAG_00012",61.082881446327,1.31169484670549,2.73825447251006,0.479025912264139,0.631920194625599,0.998846388589019
"ONCDGDAG_00013",0,NA,NA,NA,NA,NA
"ONCDGDAG_00014",4.05396232329397,-0.181038755999544,3.54640961752285,-0.0510484618316592,0.959286903903887,0.998846388589019
"ONCDGDAG_00015",0,NA,NA,NA,NA,NA
"ONCDGDAG_00016",135.984749466831,1.90783834145126,2.24709405689318,0.849024692846646,0.395867552279446,0.998846388589019
"ONCDGDAG_00017",3.81788612507759,5.58436073380013,3.90262533071041,1.43092412429547,0.152451962202489,0.819854876032745
"ONCDGDAG_00018",72.5184105605461,2.45747588738538,3.07233803462737,0.799871583038042,NA,NA
"ONCDGDAG_00019",0,NA,NA,NA,NA,NA
"ONCDGDAG_00020",0,NA,NA,NA,NA,NA
"ONCDGDAG_00021",0,NA,NA,NA,NA,NA
"ONCDGDAG_00022",0,NA,NA,NA,NA,NA
"ONCDGDAG_00023",0,NA,NA,NA,NA,NA
"ONCDGDAG_00024",354.396605117446,0.373320625423217,1.92476566623327,0.193956403094928,0.846210018875825,0.998846388589019
"ONCDGDAG_00025",0.898448662293821,1.49980255776225,3.93144141774468,0.381489229622715,0.702840261593483,0.998846388589019
"ONCDGDAG_00026",7.09661634376804,6.47804661253867,3.29965166554794,1.96325166082733,0.0496169392458952,0.791044955028284
"ONCDGDAG_00027",7.35881484141955,-0.330611490584001,3.07674816298427,-0.107454842928492,0.914428147954163,0.998846388589019
"ONCDGDAG_00028",12.8359851640397,7.3344499628341,3.16413524741933,2.31799508848937,0.0204495879890124,0.534095121595384
"ONCDGDAG_00029",2.82927841077617,-3.8655977344927,3.7407763490011,-1.03336777552203,0.301431820818128,0.998846388589019
"ONCDGDAG_00030",0,NA,NA,NA,NA,NA
"ONCDGDAG_00031",56.1433856243811,1.10697744470193,2.70744833557288,0.408863737179197,NA,NA
"ONCDGDAG_00032",5.8180053111758,0.0403131279324284,3.10181662106159,0.0129966187100485,0.989630490512033,0.998846388589019
"ONCDGDAG_00033",0,NA,NA,NA,NA,NA
"ONCDGDAG_00034",0,NA,NA,NA,NA,NA
"ONCDGDAG_00035",0,NA,NA,NA,NA,NA
"ONCDGDAG_00036",8.58364879908115,6.75432784219402,3.65891552960747,1.84599173922953,0.0648934048973148,0.791044955028284
"ONCDGDAG_00037",0,NA,NA,NA,NA,NA
"ONCDGDAG_00038",41.5112972383799,-0.909082845290572,2.62355816376667,-0.34650760095419,0.728961272890578,0.998846388589019
"ONCDGDAG_00039",13.0744031131744,-7.1193430728839,3.60630592761744,-1.97413730719939,NA,NA
"ONCDGDAG_00040",41.4753090721775,-0.865890005273894,2.62306640744108,-0.330106017452531,0.741319856589547,0.998846388589019
"ONCDGDAG_00041",3.37773452455872,3.19500685193489,3.25099821160092,0.982777179185695,0.325717115864721,0.998846388589019
"ONCDGDAG_00042",117.827624475464,1.46236588363362,1.90651696515699,0.76703533740294,0.443060505651377,0.998846388589019
"ONCDGDAG_00043",0,NA,NA,NA,NA,NA
"ONCDGDAG_00044",5.37974863079115,6.07919203372029,3.77440275884528,1.61063681385717,0.107258905014118,0.791044955028284
"ONCDGDAG_00045",0,NA,NA,NA,NA,NA
"ONCDGDAG_00046",11.50635934984,-6.92923060622576,3.21073738450076,-2.15814306074216,0.0309167107272353,0.726347363110089
"ONCDGDAG_00047",0,NA,NA,NA,NA,NA
"ONCDGDAG_00048",0,NA,NA,NA,NA,NA
"ONCDGDAG_00049",10.3316895204826,-6.78074686514882,3.17467829814636,-2.13588471912508,0.0326888114281156,0.726347363110089
"ONCDGDAG_00050",0,NA,NA,NA,NA,NA
"ONCDGDAG_00051",0,NA,NA,NA,NA,NA
"ONCDGDAG_00052",0,NA,NA,NA,NA,NA
"ONCDGDAG_00053",0,NA,NA,NA,NA,NA
"ONCDGDAG_00054",1.6343003891468,-4.1312387527791,3.93201459831186,-1.05066719603553,0.293411467292414,0.998846388589019
"ONCDGDAG_00055",0,NA,NA,NA,NA,NA
"ONCDGDAG_00056",3.81788612507759,5.58436073380013,3.90262533071041,1.43092412429547,0.152451962202489,0.819854876032745
"ONCDGDAG_00057",2.74693856371345,-0.351345802365086,3.70988467433834,-0.0947053165278645,0.924548894983327,0.998846388589019
"ONCDGDAG_00058",29.5231225350245,-1.28700295943446,3.37299629948612,-0.381560738631862,NA,NA
"ONCDGDAG_00059",0,NA,NA,NA,NA,NA
"ONCDGDAG_00060",0,NA,NA,NA,NA,NA
"ONCDGDAG_00061",0,NA,NA,NA,NA,NA
"ONCDGDAG_00062",0,NA,NA,NA,NA,NA
"ONCDGDAG_00063",52.2850334416541,-9.11574613001475,3.16155975610779,-2.88330660598906,0.00393524202963217,0.436811865289171
"ONCDGDAG_00064",0.867701392063088,3.4459716299578,3.95894594257223,0.870426542808227,0.384067346566323,0.998846388589019
"ONCDGDAG_00065",12.35762537363,-5.12075649794313,2.92933685930664,-1.74809410589781,0.0804477334484114,0.791044955028284
"ONCDGDAG_00066",0,NA,NA,NA,NA,NA
"ONCDGDAG_00067",7.28869169332994,6.51736058527145,3.6950042788782,1.76383032153081,0.0777605508613349,0.791044955028284
"ONCDGDAG_00068",16.4985354849674,-1.33180140204722,2.73848039309797,-0.486328624226733,0.626734187551301,0.998846388589019
"ONCDGDAG_00069",0,NA,NA,NA,NA,NA
"ONCDGDAG_00070",0,NA,NA,NA,NA,NA
"ONCDGDAG_00071",0.520620835237853,2.70826855552889,3.99338947974067,0.678187932649325,0.497652542813393,0.998846388589019
"ONCDGDAG_00072",0,NA,NA,NA,NA,NA
"ONCDGDAG_00073",0,NA,NA,NA,NA,NA
"ONCDGDAG_00074",0,NA,NA,NA,NA,NA
"ONCDGDAG_00075",0,NA,NA,NA,NA,NA
"ONCDGDAG_00076",0,NA,NA,NA,NA,NA
"ONCDGDAG_00077",0,NA,NA,NA,NA,NA
"ONCDGDAG_00078",0,NA,NA,NA,NA,NA
"ONCDGDAG_00079",5.82219513633547,-5.9545389593858,3.74961653304704,-1.58803944534215,0.112277419788982,0.791044955028284
"ONCDGDAG_00080",0.18349620222098,1.2051316188578,4.0804728567969,0.295341167838036,0.767733270926973,0.998846388589019
"ONCDGDAG_00081",0,NA,NA,NA,NA,NA
"ONCDGDAG_00082",0,NA,NA,NA,NA,NA
"ONCDGDAG_00083",51.6813974338065,-1.04499905886915,3.00514128465229,-0.347737081183545,0.728037645795506,0.998846388589019
"ONCDGDAG_00084",72.5414078246793,0.357640946458708,2.64961756357637,0.134978327202804,0.892629009885453,0.998846388589019
"ONCDGDAG_00085",0,NA,NA,NA,NA,NA
"ONCDGDAG_00086",0,NA,NA,NA,NA,NA
"ONCDGDAG_00087",422.947851528594,0.0593140569444355,1.88414005728505,0.0314807047995699,0.974886179857243,0.998846388589019
"ONCDGDAG_00088",0,NA,NA,NA,NA,NA
"ONCDGDAG_00089",0,NA,NA,NA,NA,NA
"ONCDGDAG_00090",4.51204723872806,5.82540298151939,3.8337523623169,1.51950424309588,0.128635620812669,0.791044955028284
"ONCDGDAG_00091",0,NA,NA,NA,NA,NA
"ONCDGDAG_00092",63.5292718116617,-0.806483660136692,1.95004772105783,-0.413571243117683,0.679188137115214,0.998846388589019
"ONCDGDAG_00093",88.018495483399,7.35990483188415,3.04106744722883,2.42017152187494,NA,NA
"ONCDGDAG_00094",0,NA,NA,NA,NA,NA
"ONCDGDAG_00095",0,NA,NA,NA,NA,NA
"ONCDGDAG_00096",0,NA,NA,NA,NA,NA
"ONCDGDAG_00097",836.303337067743,0.606471010410032,1.84403268787674,0.328883004296598,0.742244120980566,0.998846388589019
"ONCDGDAG_00098",13.8182582611179,0.372515266692786,2.98244272213719,0.124902739599252,0.900600549471839,0.998846388589019
"ONCDGDAG_00099",234.29295188641,0.261174531576807,2.30191117218924,0.1134598653207,0.909665980395372,0.998846388589019
"ONCDGDAG_00101",0,NA,NA,NA,NA,NA
"ONCDGDAG_00102",88.2753758347319,1.17550051743505,2.39675224268648,0.490455582558442,0.623811553336823,0.998846388589019
"ONCDGDAG_00103",32.4253454905258,-1.8186798214766,2.36935620237733,-0.767583962112492,0.442734393543485,0.998846388589019
"ONCDGDAG_00104",0,NA,NA,NA,NA,NA
"ONCDGDAG_00105",23.1327083653826,1.13409257731647,2.67823852917372,0.423447189248808,0.671969021675267,0.998846388589019
"ONCDGDAG_00106",0,NA,NA,NA,NA,NA
"ONCDGDAG_00107",0,NA,NA,NA,NA,NA
"ONCDGDAG_00108",0,NA,NA,NA,NA,NA
"ONCDGDAG_00109",0,NA,NA,NA,NA,NA
"ONCDGDAG_00110",0,NA,NA,NA,NA,NA
"ONCDGDAG_00111",0,NA,NA,NA,NA,NA
"ONCDGDAG_00112",24.1102507152808,-0.717207527749631,2.29226685757314,-0.312881340747975,0.754370814288492,0.998846388589019
"ONCDGDAG_00113",0,NA,NA,NA,NA,NA
"ONCDGDAG_00114",88.5101200997878,-0.0269592520839923,1.90820415922655,-0.014128075318167,0.988727801824201,0.998846388589019
"ONCDGDAG_00115",0,NA,NA,NA,NA,NA
"ONCDGDAG_00116",0,NA,NA,NA,NA,NA
"ONCDGDAG_00117",0,NA,NA,NA,NA,NA
"ONCDGDAG_00118",20.9865660263312,1.04192209461987,3.03139164751183,0.343710815286795,0.731063776772737,0.998846388589019
"ONCDGDAG_00119",0,NA,NA,NA,NA,NA
"ONCDGDAG_00120",0,NA,NA,NA,NA,NA
"ONCDGDAG_00121",0,NA,NA,NA,NA,NA
"ONCDGDAG_00122",0,NA,NA,NA,NA,NA
"ONCDGDAG_00123",0,NA,NA,NA,NA,NA
"ONCDGDAG_00124",0,NA,NA,NA,NA,NA
"ONCDGDAG_00125",48.3637597792707,2.41111698803311,3.13591038894085,0.768873050880597,NA,NA
"ONCDGDAG_00126",0,NA,NA,NA,NA,NA
"ONCDGDAG_00127",0,NA,NA,NA,NA,NA
"ONCDGDAG_00128",38.2952632606886,-0.321414577977876,2.40348335195371,-0.133728647513455,0.893617151184364,0.998846388589019
"ONCDGDAG_00129",0,NA,NA,NA,NA,NA
"ONCDGDAG_00130",0.102143774321675,-0.714919814597662,4.07997607719371,-0.175226472182993,0.860901684325708,0.998846388589019
"ONCDGDAG_00131",0,NA,NA,NA,NA,NA
"ONCDGDAG_00132",0,NA,NA,NA,NA,NA
"ONCDGDAG_00133",0.688156598598195,-1.40767822132823,3.99075379875644,-0.352734919845689,0.724287177700095,0.998846388589019
"ONCDGDAG_00134",0,NA,NA,NA,NA,NA
"ONCDGDAG_00135",0,NA,NA,NA,NA,NA
"ONCDGDAG_00136",0,NA,NA,NA,NA,NA
"ONCDGDAG_00137",0,NA,NA,NA,NA,NA
"ONCDGDAG_00138",35.8746217338013,-0.90260951852062,2.29564301407975,-0.393183745462466,0.694183774205728,0.998846388589019
"ONCDGDAG_00139",0,NA,NA,NA,NA,NA
"ONCDGDAG_00140",0,NA,NA,NA,NA,NA
"ONCDGDAG_00141",0,NA,NA,NA,NA,NA
"ONCDGDAG_00142",0,NA,NA,NA,NA,NA
"ONCDGDAG_00143",0,NA,NA,NA,NA,NA
"ONCDGDAG_00144",36.4759340074255,-2.19923825847932,2.60632681789106,-0.843807554517994,0.3987769533351,0.998846388589019
"ONCDGDAG_00145",54.7864910254419,-0.450630374535383,1.89870117079293,-0.237336122959883,0.812396040453316,0.998846388589019
"ONCDGDAG_00146",0,NA,NA,NA,NA,NA
"ONCDGDAG_00147",0,NA,NA,NA,NA,NA
"ONCDGDAG_00148",0,NA,NA,NA,NA,NA
"ONCDGDAG_00149",0,NA,NA,NA,NA,NA
"ONCDGDAG_00150",0,NA,NA,NA,NA,NA
"ONCDGDAG_00151",0,NA,NA,NA,NA,NA
"ONCDGDAG_00152",0,NA,NA,NA,NA,NA
"ONCDGDAG_00153",0,NA,NA,NA,NA,NA
"ONCDGDAG_00154",0,NA,NA,NA,NA,NA
"ONCDGDAG_00155",0,NA,NA,NA,NA,NA
"ONCDGDAG_00156",0,NA,NA,NA,NA,NA
"ONCDGDAG_00157",0,NA,NA,NA,NA,NA
"ONCDGDAG_00158",1.97469739906214,-3.27199212364368,3.93029601398095,-0.832505264744554,0.405123807737201,0.998846388589019
"ONCDGDAG_00159",0,NA,NA,NA,NA,NA
"ONCDGDAG_00160",30.1816037020485,8.56722172434461,3.14511050757856,2.72398114587731,0.00645001885170458,0.440220198418589
"ONCDGDAG_00161",0,NA,NA,NA,NA,NA
"ONCDGDAG_00162",0,NA,NA,NA,NA,NA
"ONCDGDAG_00163",0,NA,NA,NA,NA,NA
"ONCDGDAG_00164",6.94161113650471,6.44696434310592,3.70591029419081,1.73964392856779,0.0819215606741192,0.791044955028284
"ONCDGDAG_00165",16.074833205552,21.0644541446548,3.58725145249139,5.87203167205503,NA,NA
"ONCDGDAG_00166",0,NA,NA,NA,NA,NA
"ONCDGDAG_00167",0,NA,NA,NA,NA,NA
"ONCDGDAG_00168",0,NA,NA,NA,NA,NA
"ONCDGDAG_00169",0,NA,NA,NA,NA,NA
"ONCDGDAG_00170",0,NA,NA,NA,NA,NA
"ONCDGDAG_00171",0,NA,NA,NA,NA,NA
"ONCDGDAG_00172",1.73644416346847,-4.21791129049041,3.93055418666076,-1.07310854657719,0.283222416800726,0.998846388589019
"ONCDGDAG_00173",0,NA,NA,NA,NA,NA
"ONCDGDAG_00174",0,NA,NA,NA,NA,NA
"ONCDGDAG_00175",0,NA,NA,NA,NA,NA
"ONCDGDAG_00176",0,NA,NA,NA,NA,NA
"ONCDGDAG_00177",0,NA,NA,NA,NA,NA
"ONCDGDAG_00178",0,NA,NA,NA,NA,NA
"ONCDGDAG_00179",0,NA,NA,NA,NA,NA
"ONCDGDAG_00180",18.7129634388559,0.490927442626447,3.02831185243155,0.162112578409738,0.871217201081862,0.998846388589019
"ONCDGDAG_00181",0,NA,NA,NA,NA,NA
"ONCDGDAG_00182",0,NA,NA,NA,NA,NA
"ONCDGDAG_00184",0,NA,NA,NA,NA,NA
"ONCDGDAG_00185",0,NA,NA,NA,NA,NA
"ONCDGDAG_00186",0,NA,NA,NA,NA,NA
"ONCDGDAG_00187",0,NA,NA,NA,NA,NA
"ONCDGDAG_00188",0,NA,NA,NA,NA,NA
"ONCDGDAG_00189",0,NA,NA,NA,NA,NA
"ONCDGDAG_00190",19.9764917505889,21.3977011130784,3.57638565337598,5.98305193761185,NA,NA
"ONCDGDAG_00191",0,NA,NA,NA,NA,NA
"ONCDGDAG_00192",0,NA,NA,NA,NA,NA
"ONCDGDAG_00194",0,NA,NA,NA,NA,NA
"ONCDGDAG_00195",0,NA,NA,NA,NA,NA
"ONCDGDAG_00196",0,NA,NA,NA,NA,NA
"ONCDGDAG_00197",0,NA,NA,NA,NA,NA
"ONCDGDAG_00198",2.46045656863576,-4.71628771536977,3.69819677484585,-1.2752938803713,0.202205242960956,0.87589393048453
"ONCDGDAG_00199",0,NA,NA,NA,NA,NA
"ONCDGDAG_00200",0,NA,NA,NA,NA,NA
"ONCDGDAG_00201",0,NA,NA,NA,NA,NA
"ONCDGDAG_00202",0,NA,NA,NA,NA,NA
"ONCDGDAG_00203",0,NA,NA,NA,NA,NA
"ONCDGDAG_00204",0,NA,NA,NA,NA,NA
"ONCDGDAG_00205",0,NA,NA,NA,NA,NA
"ONCDGDAG_00206",42.008666959768,1.80198978608858,2.98484466546585,0.603713086626349,0.546034412000824,0.998846388589019
"ONCDGDAG_00207",10.0329060824929,0.230845637298275,2.32960976413748,0.0990919770563994,0.921065242118086,0.998846388589019
"ONCDGDAG_00208",53.3969250646559,-0.872036044416962,2.63463601440014,-0.330989191543224,0.740652649752503,0.998846388589019
"ONCDGDAG_00209",29.1856442583761,2.19527559239491,2.94537316791231,0.745330206817536,0.456072124485954,0.998846388589019
"ONCDGDAG_00210",80.3539686984114,9.98006187916234,2.8008678635365,3.56320339459394,NA,NA
"ONCDGDAG_00211",0,NA,NA,NA,NA,NA
"ONCDGDAG_00212",0,NA,NA,NA,NA,NA
"ONCDGDAG_00213",0,NA,NA,NA,NA,NA
"ONCDGDAG_00214",0,NA,NA,NA,NA,NA
"ONCDGDAG_00215",0,NA,NA,NA,NA,NA
"ONCDGDAG_00216",0,NA,NA,NA,NA,NA
"ONCDGDAG_00217",0,NA,NA,NA,NA,NA
"ONCDGDAG_00218",0,NA,NA,NA,NA,NA
"ONCDGDAG_00219",0,NA,NA,NA,NA,NA
"ONCDGDAG_00221",117.409479800648,-1.09301156081195,2.34643046498501,-0.465818858526853,0.641345165164058,0.998846388589019
"ONCDGDAG_00222",0,NA,NA,NA,NA,NA
"ONCDGDAG_00223",2.0428754864335,-4.45045810061516,3.92703706745093,-1.13328650180121,0.257093958362159,0.978286395731672
"ONCDGDAG_00224",0,NA,NA,NA,NA,NA
"ONCDGDAG_00225",8.27364572005567,-6.46033332762488,3.66838986472853,-1.76108144604281,NA,NA
"ONCDGDAG_00226",0,NA,NA,NA,NA,NA
"ONCDGDAG_00227",0,NA,NA,NA,NA,NA
"ONCDGDAG_00228",0,NA,NA,NA,NA,NA
"ONCDGDAG_00229",0,NA,NA,NA,NA,NA
"ONCDGDAG_00230",0,NA,NA,NA,NA,NA
"ONCDGDAG_00231",0,NA,NA,NA,NA,NA
"ONCDGDAG_00232",0,NA,NA,NA,NA,NA
"ONCDGDAG_00233",0,NA,NA,NA,NA,NA
"ONCDGDAG_00234",0,NA,NA,NA,NA,NA
"ONCDGDAG_00235",0,NA,NA,NA,NA,NA
"ONCDGDAG_00236",0,NA,NA,NA,NA,NA
"ONCDGDAG_00237",0,NA,NA,NA,NA,NA
"ONCDGDAG_00238",32.0607426964014,-2.09101912690507,2.3216026927863,-0.900679144369664,0.367758940555694,0.998846388589019
"ONCDGDAG_00239",0,NA,NA,NA,NA,NA
"ONCDGDAG_00240",41.4586604355254,-0.894409197980063,2.45048450036022,-0.364992799525394,0.715116781169889,0.998846388589019
"ONCDGDAG_00241",25.3100911042913,-8.07159769161307,3.10002645347935,-2.60371897231839,0.0092218337780445,0.440220198418589
"ONCDGDAG_00242",0,NA,NA,NA,NA,NA
"ONCDGDAG_00243",0,NA,NA,NA,NA,NA
"ONCDGDAG_00244",0,NA,NA,NA,NA,NA
"ONCDGDAG_00245",1028.09506733836,-0.46785831561998,1.86472546986132,-0.250899300289374,0.801891965401945,0.998846388589019
"ONCDGDAG_00246",3.64434584666497,5.51723647643738,3.91924229340226,1.40773038853077,0.159210919872588,0.819854876032745
"ONCDGDAG_00247",3.06431322965025,-5.03172692331175,3.92034553236088,-1.28349067238509,0.199320225386403,0.86957518371987
"ONCDGDAG_00248",3.65797958653153,-5.28754455642301,3.47692661231929,-1.52075241901524,0.128321978827427,0.791044955028284
"ONCDGDAG_00249",0,NA,NA,NA,NA,NA
"ONCDGDAG_00250",0,NA,NA,NA,NA,NA
"ONCDGDAG_00251",0,NA,NA,NA,NA,NA
"ONCDGDAG_00252",0,NA,NA,NA,NA,NA
"ONCDGDAG_00253",0,NA,NA,NA,NA,NA
"ONCDGDAG_00254",139.930182228654,-0.0718400353957638,2.0618354537993,-0.034842758796967,0.972205124726288,0.998846388589019
"ONCDGDAG_00255",68.1667875002894,-1.82582348997424,2.66618613601536,-0.684807210310887,NA,NA
"ONCDGDAG_00256",0,NA,NA,NA,NA,NA
"ONCDGDAG_00257",0,NA,NA,NA,NA,NA
"ONCDGDAG_00258",0,NA,NA,NA,NA,NA
"ONCDGDAG_00259",20.1461205257917,-3.45691802854974,2.60083784316497,-1.32915554025583,0.183796659687395,0.841546869348807
"ONCDGDAG_00260",12.0461906159004,-0.510455165440782,3.01097676360095,-0.169531419707905,0.865378660675771,0.998846388589019
"ONCDGDAG_00261",0,NA,NA,NA,NA,NA
"ONCDGDAG_00262",0,NA,NA,NA,NA,NA
"ONCDGDAG_00263",0,NA,NA,NA,NA,NA
"ONCDGDAG_00264",3.4842910482128,-2.19432043231037,3.59718165193267,-0.610011015465795,0.541854510622567,0.998846388589019
"ONCDGDAG_00265",23.2026417778049,-6.97506279074236,2.9119653327222,-2.39531106787657,0.0166062700665352,0.526655993538687
"ONCDGDAG_00266",0,NA,NA,NA,NA,NA
"ONCDGDAG_00267",0,NA,NA,NA,NA,NA
"ONCDGDAG_00268",1.04124167047571,3.70919608411687,3.95029197131185,0.938967577853513,0.347747390924157,0.998846388589019
"ONCDGDAG_00269",0.20428754864335,-1.38061216037213,4.04110864860802,-0.341641930574593,0.732620377802943,0.998846388589019
"ONCDGDAG_00270",43.2308110659142,-0.373894870515194,2.62235225311722,-0.142579956628916,0.886621928024312,0.998846388589019
"ONCDGDAG_00271",0,NA,NA,NA,NA,NA
"ONCDGDAG_00272",106.97034226255,1.56589899400686,2.28381181156701,0.685651499863484,0.492932897578415,0.998846388589019
"ONCDGDAG_00273",0.359451934414463,-1.8029495725022,4.020932910921,-0.448390861634455,0.653871135795354,0.998846388589019
"ONCDGDAG_00274",0,NA,NA,NA,NA,NA
"ONCDGDAG_00275",0,NA,NA,NA,NA,NA
"ONCDGDAG_00276",0,NA,NA,NA,NA,NA
"ONCDGDAG_00277",2.75788190668522,-4.88055365674678,3.92183805902127,-1.24445568208004,0.213331900506912,0.890452659913182
"ONCDGDAG_00278",3.48642784219862,5.45209474289676,3.91981786390422,1.3909051216646,0.164254199524152,0.821483845895725
