"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tig00000001_0",33.8850199958172,-2.4968439611475,1.97484106930313,-1.26432653237689,0.206112850213641,0.567557368245886
"tig00000001_1",0,NA,NA,NA,NA,NA
"tig00000001_10",11.8091362849415,-3.97640090188826,3.58589028773194,-1.10890199722293,NA,NA
"tig00000001_11",0,NA,NA,NA,NA,NA
"tig00000001_12",0,NA,NA,NA,NA,NA
"tig00000001_13",0,NA,NA,NA,NA,NA
"tig00000001_14",9.62797238204836,6.64230679809668,3.91168616660911,1.69806741010991,0.0894950396861803,0.567557368245886
"tig00000001_15",0,NA,NA,NA,NA,NA
"tig00000001_16",0,NA,NA,NA,NA,NA
"tig00000001_17",0,NA,NA,NA,NA,NA
"tig00000001_18",0,NA,NA,NA,NA,NA
"tig00000001_19",0,NA,NA,NA,NA,NA
"tig00000001_2",0,NA,NA,NA,NA,NA
"tig00000001_20",0,NA,NA,NA,NA,NA
"tig00000001_21",0,NA,NA,NA,NA,NA
"tig00000001_22",83.3263109465432,-0.0800340471470241,1.78891329806988,-0.044738919003719,0.964315411862209,0.964315411862209
"tig00000001_23",3.33448536239255,5.1177147226249,3.92091332818524,1.30523536081161,0.191812716829731,0.567557368245886
"tig00000001_24",10.8696394237487,-6.8103255864307,3.91108881126266,-1.74128635658162,0.0816333965073087,0.567557368245886
"tig00000001_25",0,NA,NA,NA,NA,NA
"tig00000001_26",1.13994377789159,-3.56967757186371,3.94741607234825,-0.904307401712575,0.36583242308465,0.862319282985246
"tig00000001_27",43.1816910501484,2.46679434285253,2.74291183387548,0.899334171950827,NA,NA
"tig00000001_28",0,NA,NA,NA,NA,NA
"tig00000001_29",0,NA,NA,NA,NA,NA
"tig00000001_3",2.84985944472898,-4.88438884337922,3.92316599423089,-1.24501202614466,0.213127329651897,0.567557368245886
"tig00000001_30",0,NA,NA,NA,NA,NA
"tig00000001_31",0,NA,NA,NA,NA,NA
"tig00000001_32",0,NA,NA,NA,NA,NA
"tig00000001_33",0,NA,NA,NA,NA,NA
"tig00000001_34",0,NA,NA,NA,NA,NA
"tig00000001_35",0,NA,NA,NA,NA,NA
"tig00000001_36",0,NA,NA,NA,NA,NA
"tig00000001_37",0.184231176673707,-0.954974995028312,4.0804728567969,-0.234035374953566,0.81495751591287,0.928882594117121
"tig00000001_38",0,NA,NA,NA,NA,NA
"tig00000001_39",0,NA,NA,NA,NA,NA
"tig00000001_4",13.4671881484955,-7.11951582568588,3.08335345265638,-2.30901709291624,0.020942632755896,0.345553440472284
"tig00000001_40",270.043912646786,1.4064399003964,1.6716747034313,0.841335875639875,0.400159797895733,0.880351555370612
"tig00000001_41",0,NA,NA,NA,NA,NA
"tig00000001_5",0,NA,NA,NA,NA,NA
"tig00000001_6",102.785697722357,0.652944417205562,2.54565621908676,0.256493556478652,NA,NA
"tig00000001_7",0.277873780199379,1.61091240256965,4.05921325579107,0.396853355824911,0.691475602298451,0.928882594117121
"tig00000001_8",0,NA,NA,NA,NA,NA
"tig00000001_9",0,NA,NA,NA,NA,NA
"tig00000002_0",0,NA,NA,NA,NA,NA
"tig00000002_1",40.4115625822046,3.42743329674286,2.81616908780337,1.21705522285108,0.223583205672622,0.567557368245886
"tig00000002_10",44.1259846821041,-0.36041620566602,2.8894930045158,-0.124733371945442,0.900734636719633,0.928882594117121
"tig00000002_11",92.0919951599472,-0.437530506595984,1.7308517200634,-0.252783356034657,0.800435630051947,0.928882594117121
"tig00000002_12",0,NA,NA,NA,NA,NA
"tig00000002_13",0,NA,NA,NA,NA,NA
"tig00000002_14",0,NA,NA,NA,NA,NA
"tig00000002_15",0,NA,NA,NA,NA,NA
"tig00000002_16",0,NA,NA,NA,NA,NA
"tig00000002_17",0,NA,NA,NA,NA,NA
"tig00000002_18",1.38631487061926,0.617542693451563,3.87037827821428,0.159556159388246,0.87323071616943,0.928882594117121
"tig00000002_19",0,NA,NA,NA,NA,NA
"tig00000002_2",0.142492972236449,-0.954974995028312,4.0804728567969,-0.234035374953566,0.81495751591287,0.928882594117121
"tig00000002_20",0,NA,NA,NA,NA,NA
"tig00000002_21",0,NA,NA,NA,NA,NA
"tig00000002_22",0,NA,NA,NA,NA,NA
"tig00000002_23",0,NA,NA,NA,NA,NA
"tig00000002_3",0,NA,NA,NA,NA,NA
"tig00000002_4",0,NA,NA,NA,NA,NA
"tig00000002_5",0,NA,NA,NA,NA,NA
"tig00000002_6",0,NA,NA,NA,NA,NA
"tig00000002_7",14.2005286097181,-21.3402310937721,3.81900788618658,-5.58789919522295,2.29832984053221e-08,7.58448847375628e-07
"tig00000002_8",0,NA,NA,NA,NA,NA
"tig00000002_9",660.194038140859,0.919537998939664,1.71366633881909,0.536591037653999,0.591550136221077,0.928882594117121
"tig00000003_0",76.3099182519661,-1.29989771296085,1.77339376215659,-0.733000048099905,0.463558400057961,0.899848658936042
"tig00000003_1",133.860242588483,3.02050960306148,2.14168432770811,1.41034304821842,0.158438413151156,0.567557368245886
"tig00000003_10",0,NA,NA,NA,NA,NA
"tig00000003_11",93.9463455812585,0.474688604648486,2.62772111301768,0.180646493380477,0.856645059752269,0.928882594117121
"tig00000003_12",0,NA,NA,NA,NA,NA
"tig00000003_13",0,NA,NA,NA,NA,NA
