"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tig00000001_0",4.96475983927386,4.78983438873954,2.92821044080522,1.63575483578373,0.10189090785311,0.577381811167626
"tig00000001_1",0,NA,NA,NA,NA,NA
"tig00000001_10",0.69787356372317,2.96333529506076,3.96305803754625,0.747739565503696,0.454617261135622,0.909234522271244
"tig00000001_11",0,NA,NA,NA,NA,NA
"tig00000001_12",0,NA,NA,NA,NA,NA
"tig00000001_13",0,NA,NA,NA,NA,NA
"tig00000001_14",10.6839826203722,6.8919579038264,3.91049520107669,1.76242586921698,0.0779973710543332,0.577381811167626
"tig00000001_15",0,NA,NA,NA,NA,NA
"tig00000001_16",0,NA,NA,NA,NA,NA
"tig00000001_17",0,NA,NA,NA,NA,NA
"tig00000001_18",0,NA,NA,NA,NA,NA
"tig00000001_19",0,NA,NA,NA,NA,NA
"tig00000001_2",0,NA,NA,NA,NA,NA
"tig00000001_20",0,NA,NA,NA,NA,NA
"tig00000001_21",0,NA,NA,NA,NA,NA
"tig00000001_22",80.0327850012106,-0.980412097999816,1.08238241050666,-0.905790863268822,0.365046557952722,0.886541640742325
"tig00000001_23",4.81833369510364,1.17623917682903,3.76998335489866,0.312001159183008,0.755039642378101,0.936810622719269
"tig00000001_24",0,NA,NA,NA,NA,NA
"tig00000001_25",0,NA,NA,NA,NA,NA
"tig00000001_26",0,NA,NA,NA,NA,NA
"tig00000001_27",46.5232371664262,-0.57517555379877,2.43483039790893,-0.236228180119954,0.813255613649797,0.936810622719269
"tig00000001_28",0,NA,NA,NA,NA,NA
"tig00000001_29",0,NA,NA,NA,NA,NA
"tig00000001_3",1.34616220679639,-4.08964043598468,3.94072119470449,-1.03778984452904,0.299367905831391,0.825218519898589
"tig00000001_30",0,NA,NA,NA,NA,NA
"tig00000001_31",0,NA,NA,NA,NA,NA
"tig00000001_32",0,NA,NA,NA,NA,NA
"tig00000001_33",0,NA,NA,NA,NA,NA
"tig00000001_34",0,NA,NA,NA,NA,NA
"tig00000001_35",0,NA,NA,NA,NA,NA
"tig00000001_36",0,NA,NA,NA,NA,NA
"tig00000001_37",0,NA,NA,NA,NA,NA
"tig00000001_38",0,NA,NA,NA,NA,NA
"tig00000001_39",0,NA,NA,NA,NA,NA
"tig00000001_4",4.4328245166276,-5.79765719393043,3.91723268626985,-1.48003901178799,0.13886283586764,0.630249699579227
"tig00000001_40",250.974620097204,1.73699482140147,1.73059696475242,1.00369690735588,0.315524728196519,0.825218519898589
"tig00000001_41",0,NA,NA,NA,NA,NA
"tig00000001_5",0,NA,NA,NA,NA,NA
"tig00000001_6",98.3975138124606,-0.434586461512864,1.07276167277656,-0.405109981593629,0.685396669732515,0.936810622719269
"tig00000001_7",0.279149425489268,1.66942057690501,4.03967495311557,0.413256164488553,0.679418942628632,0.936810622719269
"tig00000001_8",0,NA,NA,NA,NA,NA
"tig00000001_9",6.76918998205335,-6.40675162870904,3.91363522724132,-1.63703341183003,0.101623488464144,0.577381811167626
"tig00000002_0",0,NA,NA,NA,NA,NA
"tig00000002_1",35.1426907873733,0.965591233442335,2.24921241248655,0.429301931681433,0.667703511252283,0.936810622719269
"tig00000002_10",19.4008850715041,21.1775833831293,3.90881416702232,5.41790488834165,NA,NA
"tig00000002_11",50.6103563759292,1.17930899718245,1.53236803070415,0.76959906076906,0.441537762340915,0.909234522271244
"tig00000002_12",0,NA,NA,NA,NA,NA
"tig00000002_13",0,NA,NA,NA,NA,NA
"tig00000002_14",0,NA,NA,NA,NA,NA
"tig00000002_15",0,NA,NA,NA,NA,NA
"tig00000002_16",0,NA,NA,NA,NA,NA
"tig00000002_17",0,NA,NA,NA,NA,NA
"tig00000002_18",1.09288940786604,1.52239624653267,3.91074111580416,0.389285867167309,0.697064689783501,0.936810622719269
"tig00000002_19",0,NA,NA,NA,NA,NA
"tig00000002_2",0,NA,NA,NA,NA,NA
"tig00000002_20",0,NA,NA,NA,NA,NA
"tig00000002_21",0,NA,NA,NA,NA,NA
"tig00000002_22",0,NA,NA,NA,NA,NA
"tig00000002_23",0,NA,NA,NA,NA,NA
"tig00000002_3",0,NA,NA,NA,NA,NA
"tig00000002_4",0,NA,NA,NA,NA,NA
"tig00000002_5",0,NA,NA,NA,NA,NA
"tig00000002_6",0,NA,NA,NA,NA,NA
"tig00000002_7",4.03848662038918,-5.6641491069708,3.91824406008716,-1.44558353693894,0.148294046959818,0.630249699579227
"tig00000002_8",0,NA,NA,NA,NA,NA
"tig00000002_9",534.155651060136,0.443065090043185,1.04520683592528,0.423901829584723,0.671637409801151,0.936810622719269
"tig00000003_0",33.3613967487287,0.467461629143418,1.22725116207334,0.380901353846494,0.703276447860687,0.936810622719269
"tig00000003_1",185.828530260173,0.183429118482021,1.00807655806584,0.181959511918381,0.855614500207116,0.938415903452965
"tig00000003_10",0,NA,NA,NA,NA,NA
"tig00000003_11",128.162130911337,-0.256754512967071,1.82071631449507,-0.141018406284933,0.88785540153504,0.94334636413098
"tig00000003_12",0,NA,NA,NA,NA,NA
"tig00000003_13",0,NA,NA,NA,NA,NA
"tig00000003_2",231.790258135304,0.0993681201537829,1.81746781854429,0.0546739365285555,0.956398233932646,0.956398233932646
"tig00000003_3",0,NA,NA,NA,NA,NA
"tig00000003_4",38.4974172494534,1.59082741041109,1.93168619453441,0.823543396910038,0.410199049277893,0.909234522271244
"tig00000003_5",0,NA,NA,NA,NA,NA
"tig00000003_6",1.95404597842488,4.4453271163754,3.92705770707898,1.13197397338017,0.257645376663362,0.825218519898589
"tig00000003_7",0,NA,NA,NA,NA,NA
"tig00000003_8",0,NA,NA,NA,NA,NA
"tig00000003_9",0,NA,NA,NA,NA,NA
"tig00000004_0",0,NA,NA,NA,NA,NA
"tig00000004_1",2.93106896763731,5.02958570408629,3.92031648075053,1.28295399842908,0.199508192989857,0.75369761796168
"tig00000004_10",0,NA,NA,NA,NA,NA
"tig00000004_2",0,NA,NA,NA,NA,NA
"tig00000004_3",0,NA,NA,NA,NA,NA
"tig00000004_4",0,NA,NA,NA,NA,NA
"tig00000004_5",0,NA,NA,NA,NA,NA
"tig00000004_6",0,NA,NA,NA,NA,NA
"tig00000004_7",0,NA,NA,NA,NA,NA
"tig00000004_8",0,NA,NA,NA,NA,NA
"tig00000004_9",0,NA,NA,NA,NA,NA
"tig00000005_0",0,NA,NA,NA,NA,NA
"tig00000005_1",0,NA,NA,NA,NA,NA
"tig00000005_10",15.4878495008739,1.15740502745289,3.13913568924569,0.368701815413085,0.712349995440726,0.936810622719269
"tig00000005_11",0,NA,NA,NA,NA,NA
"tig00000005_2",0,NA,NA,NA,NA,NA
"tig00000005_3",0,NA,NA,NA,NA,NA
"tig00000005_4",0,NA,NA,NA,NA,NA
"tig00000005_5",0,NA,NA,NA,NA,NA
"tig00000005_6",13.1029975532867,7.18678677493474,3.90980510690199,1.83814450552737,0.0660411145832978,0.577381811167626
"tig00000005_7",0,NA,NA,NA,NA,NA
"tig00000005_8",0,NA,NA,NA,NA,NA
"tig00000005_9",0,NA,NA,NA,NA,NA
"tig00000006_0",13.3028181351586,-0.85201236644774,3.73944282479801,-0.227844736867654,0.81976694625784,0.936810622719269
"tig00000006_1",0,NA,NA,NA,NA,NA
"tig00000006_2",43.2163518417855,-1.07615708532311,2.06195789375551,-0.521910310866273,0.601732778926038,0.936810622719269
"tig00000006_3",0,NA,NA,NA,NA,NA
"tig00000006_4",0,NA,NA,NA,NA,NA
"tig00000006_5",0,NA,NA,NA,NA,NA
"tig00000006_6",0,NA,NA,NA,NA,NA
"tig00000007_0",453.692476644126,-1.22395752824404,1.13155400974149,-1.08166072295892,0.279403311770969,0.825218519898589
"tig00000007_1",0,NA,NA,NA,NA,NA
"tig00000007_2",0,NA,NA,NA,NA,NA
"tig00000007_3",0,NA,NA,NA,NA,NA
"tig00000007_4",0,NA,NA,NA,NA,NA
"tig00000007_5",0,NA,NA,NA,NA,NA
"tig00000007_6",0,NA,NA,NA,NA,NA
"tig00000007_7",0,NA,NA,NA,NA,NA
"tig00000007_8",0,NA,NA,NA,NA,NA
"tig00000007_9",0,NA,NA,NA,NA,NA
"tig00000008_0",16.3287709291614,7.50452091767077,3.24414247396858,2.31325257071415,0.0207087567211566,0.577381811167626
"tig00000008_1",26.9326167978377,-0.684717599795076,2.93961581335226,-0.232927580769217,0.815817641056588,0.936810622719269
"tig00000008_2",81.1569025355512,-0.153682064060194,1.57158968407794,-0.0977876513298445,0.922100913196204,0.95004336511124
"tig00000008_3",0,NA,NA,NA,NA,NA
"tig00000008_4",10.9452551652513,-0.693563280749993,3.16598242335927,-0.219067318767388,0.826597608281708,0.936810622719269
"tig00000008_5",0,NA,NA,NA,NA,NA
"tig00000008_6",14.8433397215786,3.74805626307056,3.08923015660595,1.213265465202,NA,NA
"tig00000008_7",8.79320690291194,6.61356384732764,3.91128964834319,1.69089084213672,0.0908576526852041,0.577381811167626
"tig00000008_8",0,NA,NA,NA,NA,NA
"tig00000008_9",0,NA,NA,NA,NA,NA
"tig00000009_0",0,NA,NA,NA,NA,NA
"tig00000009_1",0,NA,NA,NA,NA,NA
"tig00000009_2",0,NA,NA,NA,NA,NA
"tig00000009_3",0,NA,NA,NA,NA,NA
