"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00001",0,NA,NA,NA,NA,NA
"AENJPLPP_00003",0.475219774881354,2.4935186716542,3.9936330910906,0.624373500213878,0.532382324136618,0.989954701282218
"AENJPLPP_00004",0,NA,NA,NA,NA,NA
"AENJPLPP_00005",0,NA,NA,NA,NA,NA
"AENJPLPP_00006",9.74032289381256,6.85398619749693,3.68732053695494,1.85879858526134,0.0630556930828133,0.646398858256339
"AENJPLPP_00007",0,NA,NA,NA,NA,NA
"AENJPLPP_00008",79.0770897056479,-0.518632540177205,2.71806557529508,-0.1908094289156,0.848674901205696,0.99002642209915
"AENJPLPP_00009",0,NA,NA,NA,NA,NA
"AENJPLPP_00010",12.377924648226,-7.17041453925777,3.6476554820663,-1.96575980777547,NA,NA
"AENJPLPP_00011",0,NA,NA,NA,NA,NA
"AENJPLPP_00012",0,NA,NA,NA,NA,NA
"AENJPLPP_00013",0,NA,NA,NA,NA,NA
"AENJPLPP_00014",10.5487246291446,-6.9391968503394,3.67736272072483,-1.88700364291822,0.0591598356721083,0.646398858256339
"AENJPLPP_00015",0.811440356088046,-3.2344545394052,3.95676050185314,-0.817450168614035,0.413671215586864,0.989954701282218
"AENJPLPP_00016",0,NA,NA,NA,NA,NA
"AENJPLPP_00017",0,NA,NA,NA,NA,NA
"AENJPLPP_00018",0,NA,NA,NA,NA,NA
"AENJPLPP_00019",0,NA,NA,NA,NA,NA
"AENJPLPP_00020",0,NA,NA,NA,NA,NA
"AENJPLPP_00021",0,NA,NA,NA,NA,NA
"AENJPLPP_00022",0,NA,NA,NA,NA,NA
"AENJPLPP_00023",0,NA,NA,NA,NA,NA
"AENJPLPP_00024",0,NA,NA,NA,NA,NA
"AENJPLPP_00025",0,NA,NA,NA,NA,NA
"AENJPLPP_00026",0,NA,NA,NA,NA,NA
"AENJPLPP_00027",0,NA,NA,NA,NA,NA
"AENJPLPP_00028",0,NA,NA,NA,NA,NA
"AENJPLPP_00029",0,NA,NA,NA,NA,NA
"AENJPLPP_00030",0,NA,NA,NA,NA,NA
"AENJPLPP_00031",45.1830043030703,-0.465889419374802,2.64532942333612,-0.176117732356847,0.8602014502602,0.99002642209915
"AENJPLPP_00032",12.1294409932549,-3.94030545894148,2.93631570003298,-1.34192159885847,0.179621417729072,0.752657550386698
"AENJPLPP_00034",58.0027647639926,-0.742702171467167,1.89666547682539,-0.391583112858832,0.695366267425638,0.989954701282218
"AENJPLPP_00035",0,NA,NA,NA,NA,NA
"AENJPLPP_00036",2.48315358749943,0.887674004388838,3.54187761097578,0.250622438685646,0.802106031726179,0.989954701282218
"AENJPLPP_00037",0,NA,NA,NA,NA,NA
"AENJPLPP_00038",0,NA,NA,NA,NA,NA
"AENJPLPP_00039",0,NA,NA,NA,NA,NA
"AENJPLPP_00040",0,NA,NA,NA,NA,NA
"AENJPLPP_00041",0,NA,NA,NA,NA,NA
"AENJPLPP_00042",0,NA,NA,NA,NA,NA
"AENJPLPP_00043",0,NA,NA,NA,NA,NA
"AENJPLPP_00044",0,NA,NA,NA,NA,NA
"AENJPLPP_00045",0,NA,NA,NA,NA,NA
"AENJPLPP_00046",0,NA,NA,NA,NA,NA
"AENJPLPP_00047",0,NA,NA,NA,NA,NA
"AENJPLPP_00048",0,NA,NA,NA,NA,NA
"AENJPLPP_00049",4.36147620209535,-0.155439873891322,2.58909317317074,-0.0600364156462405,0.952126631494397,0.99832883126056
"AENJPLPP_00050",0,NA,NA,NA,NA,NA
"AENJPLPP_00051",0,NA,NA,NA,NA,NA
"AENJPLPP_00052",0,NA,NA,NA,NA,NA
"AENJPLPP_00053",0.590322599625004,2.81519366086472,3.97643523404001,0.70796919732665,0.47896438616464,0.989954701282218
"AENJPLPP_00054",0,NA,NA,NA,NA,NA
"AENJPLPP_00055",0,NA,NA,NA,NA,NA
"AENJPLPP_00056",0,NA,NA,NA,NA,NA
"AENJPLPP_00057",0,NA,NA,NA,NA,NA
"AENJPLPP_00058",86.9934099855059,1.72992836454519,2.33645087365769,0.740408618922514,0.459052090614223,0.989954701282218
"AENJPLPP_00059",53.8833810354384,-2.12650832934291,2.59911886747676,-0.818165092775205,0.413262924467153,0.989954701282218
"AENJPLPP_00060",0,NA,NA,NA,NA,NA
"AENJPLPP_00061",20.5169502273011,-2.40991913492252,3.35252838019886,-0.718836311470562,NA,NA
"AENJPLPP_00062",0,NA,NA,NA,NA,NA
"AENJPLPP_00063",0,NA,NA,NA,NA,NA
"AENJPLPP_00064",0,NA,NA,NA,NA,NA
"AENJPLPP_00065",11.0708933580017,-7.00968163874994,3.21603590907457,-2.17960303831527,0.0292868993973638,0.433749079005785
"AENJPLPP_00066",0,NA,NA,NA,NA,NA
"AENJPLPP_00067",0,NA,NA,NA,NA,NA
"AENJPLPP_00068",0,NA,NA,NA,NA,NA
"AENJPLPP_00069",0,NA,NA,NA,NA,NA
"AENJPLPP_00070",35.7084032045685,-1.57122138757342,2.45341913562626,-0.640421102435212,0.521898867259633,0.989954701282218
"AENJPLPP_00071",0,NA,NA,NA,NA,NA
"AENJPLPP_00072",0,NA,NA,NA,NA,NA
"AENJPLPP_00073",7.86515110416633,3.64266833501199,3.04471461814694,1.19639072683566,0.231544118371413,0.821885940830759
"AENJPLPP_00074",0,NA,NA,NA,NA,NA
"AENJPLPP_00075",95.6947597516412,-0.408083942154398,2.3072140653393,-0.176873029808955,0.859608123686142,0.99002642209915
"AENJPLPP_00076",0,NA,NA,NA,NA,NA
