"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00001",0,NA,NA,NA,NA,NA
"AENJPLPP_00003",0.633681204543212,1.80390973999345,3.99069054849039,0.45202947161008,0.651247751121352,0.999399299569476
"AENJPLPP_00004",0,NA,NA,NA,NA,NA
"AENJPLPP_00005",0,NA,NA,NA,NA,NA
"AENJPLPP_00006",16.0297518867146,1.31697029605019,3.36217744226657,0.391701603697148,0.695278704960825,0.999399299569476
"AENJPLPP_00007",0,NA,NA,NA,NA,NA
"AENJPLPP_00008",34.1721236982078,8.76057988187749,3.16996760623608,2.76361810910728,0.005716439981016,0.453150377532009
"AENJPLPP_00009",0,NA,NA,NA,NA,NA
"AENJPLPP_00010",2.57204401542759,-4.76213717261528,3.36097254155259,-1.41689261478328,0.15651432605577,0.830150536733995
"AENJPLPP_00011",0,NA,NA,NA,NA,NA
"AENJPLPP_00012",0,NA,NA,NA,NA,NA
"AENJPLPP_00013",0,NA,NA,NA,NA,NA
"AENJPLPP_00014",0,NA,NA,NA,NA,NA
"AENJPLPP_00015",0,NA,NA,NA,NA,NA
"AENJPLPP_00016",0,NA,NA,NA,NA,NA
"AENJPLPP_00017",0,NA,NA,NA,NA,NA
"AENJPLPP_00018",0,NA,NA,NA,NA,NA
"AENJPLPP_00019",0,NA,NA,NA,NA,NA
"AENJPLPP_00020",0,NA,NA,NA,NA,NA
"AENJPLPP_00021",0,NA,NA,NA,NA,NA
"AENJPLPP_00022",0,NA,NA,NA,NA,NA
"AENJPLPP_00023",0,NA,NA,NA,NA,NA
"AENJPLPP_00024",0,NA,NA,NA,NA,NA
"AENJPLPP_00025",3.68077086793107,-5.28569395327656,3.91802885759827,-1.34906968411577,0.177314584617392,0.830150536733995
"AENJPLPP_00026",0,NA,NA,NA,NA,NA
"AENJPLPP_00027",0,NA,NA,NA,NA,NA
"AENJPLPP_00028",0,NA,NA,NA,NA,NA
"AENJPLPP_00029",0,NA,NA,NA,NA,NA
"AENJPLPP_00030",0,NA,NA,NA,NA,NA
"AENJPLPP_00031",71.8039178498328,-1.33725203766699,2.74445413742001,-0.487256106572839,0.62607684913646,0.999399299569476
"AENJPLPP_00032",2.75782697289256,-1.13709288472596,3.7126624307296,-0.306274245488701,0.759395846723499,0.999399299569476
"AENJPLPP_00034",79.9958598649595,-1.24272773262626,1.94076124348945,-0.640330044097469,0.521958052286476,0.999399299569476
"AENJPLPP_00035",0,NA,NA,NA,NA,NA
"AENJPLPP_00036",2.58405495352406,1.3555764619616,3.07030914911038,0.441511390588917,0.658842817129782,0.999399299569476
"AENJPLPP_00037",0,NA,NA,NA,NA,NA
"AENJPLPP_00038",0,NA,NA,NA,NA,NA
"AENJPLPP_00039",0,NA,NA,NA,NA,NA
"AENJPLPP_00040",0,NA,NA,NA,NA,NA
"AENJPLPP_00041",0,NA,NA,NA,NA,NA
"AENJPLPP_00042",0,NA,NA,NA,NA,NA
"AENJPLPP_00043",0,NA,NA,NA,NA,NA
"AENJPLPP_00044",0,NA,NA,NA,NA,NA
"AENJPLPP_00045",0,NA,NA,NA,NA,NA
"AENJPLPP_00046",0,NA,NA,NA,NA,NA
"AENJPLPP_00047",0,NA,NA,NA,NA,NA
"AENJPLPP_00048",0,NA,NA,NA,NA,NA
