AENJPLPP_00005	K02483
AENJPLPP_00010	K19005
AENJPLPP_00011	K06969
AENJPLPP_00012	K03785
AENJPLPP_00013	K03976
AENJPLPP_00014	K07007
AENJPLPP_00015	K00262
AENJPLPP_00016	K01810
AENJPLPP_00025	K01126
AENJPLPP_00028	K01607
AENJPLPP_00063	K07451
AENJPLPP_00067	K06904
AENJPLPP_00085	K01447
AENJPLPP_00086	K07497
AENJPLPP_00087	K07483
AENJPLPP_00088	K01442
AENJPLPP_00089	K07493
AENJPLPP_00090	K01442
AENJPLPP_00092	K01953
AENJPLPP_00094	K02913
AENJPLPP_00095	K00287
AENJPLPP_00096	K02016
AENJPLPP_00097	K02013
AENJPLPP_00098	K02015
AENJPLPP_00099	K02015
AENJPLPP_00100	K01934
AENJPLPP_00101	K19225
AENJPLPP_00103	K00845
AENJPLPP_00108	K01784
AENJPLPP_00109	K00965
AENJPLPP_00110	K02529
AENJPLPP_00111	K01409
AENJPLPP_00111	K14742
AENJPLPP_00112	K03789
AENJPLPP_00113	K03789
AENJPLPP_00114	K01409
AENJPLPP_00115	K21828
AENJPLPP_00116	K01478
AENJPLPP_00117	K00611
AENJPLPP_00118	K00926
AENJPLPP_00119	K01887
AENJPLPP_00120	K05306
AENJPLPP_00121	K05306
AENJPLPP_00122	K03430
AENJPLPP_00123	K03402
AENJPLPP_00124	K02967
AENJPLPP_00125	K02357
AENJPLPP_00126	K09903
AENJPLPP_00127	K02838
AENJPLPP_00128	K00806
AENJPLPP_00129	K00981
AENJPLPP_00130	K11749
AENJPLPP_00131	K01881
AENJPLPP_00132	K03763
AENJPLPP_00133	K09748
AENJPLPP_00134	K02600
AENJPLPP_00135	K07742
AENJPLPP_00137	K02519
AENJPLPP_00138	K02834
AENJPLPP_00139	K01621
AENJPLPP_00140	K01621
AENJPLPP_00141	K01621
AENJPLPP_00142	K03177
AENJPLPP_00142	K03483
AENJPLPP_00143	K11753
AENJPLPP_00144	K00034
AENJPLPP_00145	K05340
AENJPLPP_00147	K05937
AENJPLPP_00148	K19055
AENJPLPP_00154	K03705
AENJPLPP_00155	K03687
AENJPLPP_00156	K04043
AENJPLPP_00157	K03686
AENJPLPP_00158	K02647
AENJPLPP_00159	K02028
AENJPLPP_00160	K02029
AENJPLPP_00160	K02030
AENJPLPP_00160	K10036
AENJPLPP_00161	K03702
AENJPLPP_00162	K03701
AENJPLPP_00163	K17810
AENJPLPP_00164	K01779
AENJPLPP_00165	K06958
AENJPLPP_00167	K09762
AENJPLPP_00177	K03737
AENJPLPP_00178	K18672
AENJPLPP_00180	K03431
AENJPLPP_00181	K00820
AENJPLPP_00183	K04773
AENJPLPP_00186	K03545
AENJPLPP_00187	K03544
AENJPLPP_00188	K03978
AENJPLPP_00192	K03436
AENJPLPP_00193	K00882
AENJPLPP_00194	K02768
AENJPLPP_00194	K02769
AENJPLPP_00194	K02770
AENJPLPP_00195	K03281
AENJPLPP_00196	K03657
AENJPLPP_00197	K01972
AENJPLPP_00198	K02435
AENJPLPP_00199	K02433
AENJPLPP_00200	K02434
AENJPLPP_00201	K07029
AENJPLPP_00202	K03215
AENJPLPP_00205	K02529
AENJPLPP_00206	K07407
AENJPLPP_00207	K01190
AENJPLPP_00207	K12111
AENJPLPP_00208	K01190
AENJPLPP_00209	K03856
AENJPLPP_00210	K01735
AENJPLPP_00211	K01736
AENJPLPP_00212	K04517
AENJPLPP_00213	K00800
AENJPLPP_00214	K00891
AENJPLPP_00215	K04518
AENJPLPP_00216	K07718
AENJPLPP_00217	K07720
AENJPLPP_00219	K10188
AENJPLPP_00220	K10189
AENJPLPP_00220	K10241
AENJPLPP_00220	K17235
AENJPLPP_00221	K10190
AENJPLPP_00227	K01834
AENJPLPP_00230	K06956
AENJPLPP_00231	K01759
AENJPLPP_00233	K07146
AENJPLPP_00234	K07313
AENJPLPP_00235	K06959
AENJPLPP_00236	K03095
AENJPLPP_00238	K01924
AENJPLPP_00240	K06890
AENJPLPP_00241	K02335
AENJPLPP_00242	K10563
AENJPLPP_00243	K00859
AENJPLPP_00245	K07738
AENJPLPP_00246	K03346
AENJPLPP_00247	K11144
AENJPLPP_00248	K11144
AENJPLPP_00251	K06967
AENJPLPP_00254	K01258
AENJPLPP_00257	K07027
AENJPLPP_00258	K03695
AENJPLPP_00262	K03596
AENJPLPP_00263	K16898
AENJPLPP_00265	K07493
AENJPLPP_00266	K13993
AENJPLPP_00268	K09779
AENJPLPP_00269	K00068
AENJPLPP_00270	K03491
AENJPLPP_00272	K02783
AENJPLPP_00273	K02782
AENJPLPP_00273	K02783
AENJPLPP_00275	K02781
AENJPLPP_00277	K01802
AENJPLPP_00277	K07533
AENJPLPP_00278	K07052
AENJPLPP_00282	K00537
AENJPLPP_00284	K06889
AENJPLPP_00288	K00033
AENJPLPP_00290	K00096
AENJPLPP_00291	K08317
AENJPLPP_00292	K02795
AENJPLPP_00293	K02796
AENJPLPP_00294	K02794
AENJPLPP_00297	K02793
AENJPLPP_00298	K01686
AENJPLPP_00301	K03704
AENJPLPP_00313	K03284
AENJPLPP_00319	K07727
AENJPLPP_00327	K03320
AENJPLPP_00328	K20265
AENJPLPP_00329	K01425
AENJPLPP_00331	K01662
AENJPLPP_00333	K01788
AENJPLPP_00336	K03588
AENJPLPP_00338	K18149
AENJPLPP_00338	K21467
AENJPLPP_00339	K18149
AENJPLPP_00339	K21467
AENJPLPP_00344	K03387
AENJPLPP_00345	K03386
AENJPLPP_00347	K00040
AENJPLPP_00348	K01686
AENJPLPP_00357	K01208
AENJPLPP_00358	K02027
AENJPLPP_00358	K15770
AENJPLPP_00358	K17237
AENJPLPP_00359	K15771
AENJPLPP_00360	K15772
AENJPLPP_00362	K00574
AENJPLPP_00364	K00226
AENJPLPP_00364	K00254
AENJPLPP_00365	K01426
AENJPLPP_00366	K02030
AENJPLPP_00366	K02424
AENJPLPP_00367	K10009
AENJPLPP_00371	K00942
AENJPLPP_00372	K11535
AENJPLPP_00377	K16927
AENJPLPP_00386	K01187
AENJPLPP_00389	K00868
AENJPLPP_00390	K01895
AENJPLPP_00393	K14982
AENJPLPP_00394	K14983
AENJPLPP_00395	K02004
AENJPLPP_00396	K02003
AENJPLPP_00397	K02003
AENJPLPP_00406	K07284
AENJPLPP_00411	K02822
AENJPLPP_00412	K03475
AENJPLPP_00413	K05989
AENJPLPP_00417	K00016
AENJPLPP_00418	K07341
AENJPLPP_00421	K03169
AENJPLPP_00422	K04750
AENJPLPP_00424	K00014
AENJPLPP_00425	K05833
AENJPLPP_00426	K05832
AENJPLPP_00427	K01989
AENJPLPP_00432	K01674
AENJPLPP_00433	K07023
AENJPLPP_00434	K00762
AENJPLPP_00435	K01591
AENJPLPP_00436	K00226
AENJPLPP_00436	K17828
AENJPLPP_00437	K02823
AENJPLPP_00438	K02823
AENJPLPP_00439	K01955
AENJPLPP_00440	K01956
AENJPLPP_00441	K01465
AENJPLPP_00442	K00609
AENJPLPP_00443	K02824
AENJPLPP_00444	K02825
AENJPLPP_00445	K06180
AENJPLPP_00446	K03101
AENJPLPP_00449	K01938
AENJPLPP_00450	K03704
AENJPLPP_00452	K03469
AENJPLPP_00455	K01872
AENJPLPP_00457	K05592
AENJPLPP_00457	K18692
AENJPLPP_00460	K03294
AENJPLPP_00462	K00639
AENJPLPP_00464	K06950
AENJPLPP_00465	K01299
AENJPLPP_00466	K07444
AENJPLPP_00469	K03700
AENJPLPP_00470	K05366
AENJPLPP_00473	K10773
AENJPLPP_00474	K02086
AENJPLPP_00475	K08151
AENJPLPP_00475	K08153
AENJPLPP_00478	K17869
AENJPLPP_00479	K09825
AENJPLPP_00480	K01738
AENJPLPP_00483	K00615
AENJPLPP_00485	K01356
AENJPLPP_00487	K00759
AENJPLPP_00488	K07462
AENJPLPP_00490	K07124
AENJPLPP_00491	K00784
AENJPLPP_00493	K03979
AENJPLPP_00494	K00134
AENJPLPP_00495	K06889
AENJPLPP_00497	K09963
AENJPLPP_00498	K03767
AENJPLPP_00498	K03768
AENJPLPP_00499	K02372
AENJPLPP_00500	K00208
AENJPLPP_00501	K00826
AENJPLPP_00502	K16052
AENJPLPP_00502	K22044
AENJPLPP_00504	K07095
AENJPLPP_00505	K00989
AENJPLPP_00506	K01776
AENJPLPP_00506	K02428
AENJPLPP_00507	K10040
AENJPLPP_00508	K10040
AENJPLPP_00509	K10039
AENJPLPP_00510	K10041
AENJPLPP_00511	K01867
AENJPLPP_00512	K01890
AENJPLPP_00513	K01889
AENJPLPP_00515	K16898
AENJPLPP_00516	K16899
AENJPLPP_00517	K16899
AENJPLPP_00519	K03305
AENJPLPP_00520	K03305
AENJPLPP_00521	K07078
AENJPLPP_00540	K09767
AENJPLPP_00541	K07464
AENJPLPP_00542	K01069
AENJPLPP_00544	K06153
AENJPLPP_00545	K01534
AENJPLPP_00548	K02968
AENJPLPP_00549	K02340
AENJPLPP_00550	K02238
AENJPLPP_00551	K01493
AENJPLPP_00553	K10804
AENJPLPP_00554	K02237
AENJPLPP_00555	K07177
AENJPLPP_00556	K00954
AENJPLPP_00557	K08316
AENJPLPP_00561	K01958
AENJPLPP_00562	K03588
AENJPLPP_00564	K03654
AENJPLPP_00565	K06207
AENJPLPP_00566	K01092
AENJPLPP_00568	K00382
AENJPLPP_00569	K00627
AENJPLPP_00570	K00162
AENJPLPP_00571	K00161
AENJPLPP_00573	K00364
AENJPLPP_00574	K10544
